Transaction ID,Date,Order Time,Branch ID,Employee ID,Product ID,Order Type,Qty,Price
23069241,07-01-25,12:04:24 AM,966105,9661057,10027,Dine In,1,3.5
23069243,07-01-25,12:08:48 AM,971107,9711076,10003,Take Away,2,4.5
23069244,07-01-25,12:10:00 AM,966105,9661052,10033,Take Away,2,4
23069246,07-01-25,12:11:12 AM,200101,2001017,10005,Take Away,2,5.5
23069246,07-01-25,12:11:12 AM,200101,2001017,10007,Take Away,3,4.5
23069249,07-01-25,12:14:00 AM,966104,9661045,10031,Dine In,3,4.5
23069252,07-01-25,12:18:24 AM,200101,2001014,10012,Dine In,2,4
23069252,07-01-25,12:18:24 AM,200101,2001014,10017,Dine In,1,3.5
23069253,07-01-25,12:21:12 AM,962110,9621105,10018,Take Away,1,4
23069255,07-01-25,12:30:00 AM,971107,9711075,10011,Take Away,4,5
23069257,07-01-25,12:31:36 AM,200103,2001031,10017,Dine In,4,3.5
23069258,07-01-25,12:36:00 AM,200101,2001013,10005,Dine In,4,5.5
23069259,07-01-25,12:38:24 AM,971106,9711067,10013,Dine In,2,3.5
23069261,07-01-25,12:39:36 AM,200101,2001013,10015,Dine In,1,4
23069261,07-01-25,12:39:36 AM,200101,2001013,10033,Dine In,4,4
23069269,07-01-25,12:50:24 AM,962110,9711067,10040,Take Away,2,5
23069270,07-01-25,12:53:12 AM,200101,2001011,10015,Dine In,4,4
23069271,07-01-25,12:53:12 AM,200101,2001018,10012,Dine In,1,4
23069274,07-01-25,1:00:00 AM,965108,9651081,10006,Take Away,4,5.5
23069276,07-01-25,1:02:24 AM,971107,9711074,10002,Take Away,3,4.5
23069279,07-01-25,1:03:36 AM,966104,9711071,10017,Dine In,3,3.5
23069279,07-01-25,1:03:36 AM,966104,9711071,10026,Dine In,3,3
23069280,07-01-25,1:03:36 AM,974109,9741093,10002,Take Away,3,4.5
23069282,07-01-25,1:05:12 AM,971107,9711072,10024,Take Away,4,4.5
23069285,07-01-25,1:07:36 AM,974109,9741097,10019,Dine In,3,4.5
23069289,07-01-25,1:12:00 AM,200103,2001034,10020,Dine In,4,4.5
23069291,07-01-25,1:13:12 AM,971107,9711075,10002,Dine In,1,4.5
23069292,07-01-25,1:15:12 AM,200101,2001015,10016,Take Away,4,4
23069292,07-01-25,1:15:12 AM,200101,2001015,10021,Take Away,2,4
23069293,07-01-25,1:17:12 AM,971107,9711078,10020,Dine In,4,4.5
23069294,07-01-25,1:20:24 AM,971107,9711075,10011,Dine In,4,5
23069298,07-01-25,1:32:00 AM,966104,9661043,10017,Take Away,3,3.5
23069298,07-01-25,1:32:00 AM,966104,9661043,10019,Take Away,4,4.5
23069298,07-01-25,1:32:00 AM,966104,9661043,10021,Take Away,4,4
23069299,07-01-25,1:34:00 AM,971107,9711071,10021,Dine In,4,4
23069301,07-01-25,1:38:00 AM,200101,2001011,10032,Take Away,3,4
23069302,07-01-25,1:39:36 AM,971107,9711071,10007,Dine In,3,4.5
23069303,07-01-25,1:44:24 AM,971107,9711072,10016,Dine In,3,4
23069303,07-01-25,1:44:24 AM,971107,9711072,10016,Dine In,4,4
23069304,07-01-25,1:44:48 AM,966105,9661056,10032,Dine In,2,4
