Transaction ID,Date,Order Time,Branch ID,Employee ID,Product ID,Order Type,Qty,Price
23104371,10-01-25,12:00:00 AM,971106,9711065,10033,Dine In,4,4
23104372,10-01-25,12:00:48 AM,200103,2001031,10013,Dine In,1,3.5
23104374,10-01-25,12:02:00 AM,971106,9711062,10007,Dine In,4,4.5
23104378,10-01-25,12:04:24 AM,971106,9711065,10007,Take Away,1,4.5
23104380,10-01-25,12:11:36 AM,974109,9741098,10013,Dine In,3,3.5
23104382,10-01-25,12:14:48 AM,965108,9651082,10017,Dine In,4,3.5
23104383,10-01-25,12:15:12 AM,971106,9711062,10006,Dine In,2,5.5
23104384,10-01-25,12:16:00 AM,971107,9711073,10029,Dine In,1,4
23104386,10-01-25,12:18:48 AM,200101,2001018,10006,Dine In,1,5.5
23104386,10-01-25,12:18:48 AM,200101,2001018,10034,Dine In,3,4
23104388,10-01-25,12:19:36 AM,200103,2001034,10019,Dine In,4,4.5
23104388,10-01-25,12:19:36 AM,200103,2001034,10020,Dine In,1,4.5
23104391,10-01-25,12:24:00 AM,200101,2001018,10002,Take Away,2,4.5
23104392,10-01-25,12:28:00 AM,200103,2001034,10005,Dine In,4,5.5
23104393,10-01-25,12:29:12 AM,200101,2001011,10026,Dine In,1,3
23104394,10-01-25,12:31:12 AM,200101,2001015,10033,Take Away,4,4
23104394,10-01-25,12:31:12 AM,200101,2001015,10035,Take Away,3,6
23104397,10-01-25,12:35:36 AM,962110,9621102,10013,Take Away,2,3.5
23104398,10-01-25,12:37:36 AM,966105,2001013,10015,Dine In,1,4
23104403,10-01-25,12:48:24 AM,971107,9711072,10016,Dine In,2,4
23104404,10-01-25,12:48:24 AM,974109,9741095,10012,Dine In,2,4
23104404,10-01-25,12:48:24 AM,974109,9741095,10017,Dine In,1,3.5
23104404,10-01-25,12:48:24 AM,974109,9741095,10021,Dine In,1,4
23104405,10-01-25,12:52:24 AM,971107,9711078,10012,Take Away,2,4
23104406,10-01-25,12:52:48 AM,971107,9711076,10015,Dine In,3,4
23104407,10-01-25,12:52:48 AM,966105,9661057,10018,Dine In,2,4
23104411,10-01-25,12:56:00 AM,200101,2001018,10019,Take Away,1,4.5
23104412,10-01-25,12:58:24 AM,971107,9711073,10013,Dine In,3,3.5
23104413,10-01-25,12:58:48 AM,966104,9661041,10026,Take Away,1,3
23104414,10-01-25,1:01:12 AM,966104,9661043,10004,Dine In,2,5
23104414,10-01-25,1:01:12 AM,966104,9661043,10013,Dine In,2,3.5
23104416,10-01-25,1:05:36 AM,966105,9661057,10017,Dine In,3,3.5
23104417,10-01-25,1:05:36 AM,971106,9711062,10017,Take Away,2,3.5
23104418,10-01-25,1:10:00 AM,966105,2001013,10024,Dine In,3,4.5
23104419,10-01-25,1:12:24 AM,966105,9661057,10036,Dine In,2,6
23104420,10-01-25,1:12:24 AM,965108,9651085,10021,Dine In,3,4
23104421,10-01-25,1:16:00 AM,971106,9711065,10011,Dine In,2,5
23104423,10-01-25,1:16:00 AM,971107,9711074,10017,Dine In,2,3.5
23104425,10-01-25,1:18:00 AM,966104,9661045,10005,Dine In,4,5.5
23104425,10-01-25,1:18:00 AM,966104,9661045,10024,Dine In,4,4.5
23104426,10-01-25,1:18:24 AM,974109,9741097,10013,Dine In,4,3.5
23104435,10-01-25,1:34:24 AM,966104,9661042,10035,Dine In,4,6
23104437,10-01-25,1:36:48 AM,966105,9661051,10013,Take Away,4,3.5
23104440,10-01-25,1:40:48 AM,971107,9711073,10021,Take Away,4,4
