Transaction ID,Date,Order Time,Branch ID,Employee ID,Product ID,Order Type,Qty,Price
23000002,01-01-25,12:00:48 AM,971107,9711072,10016,Dine In,2,4
23000011,01-01-25,12:16:48 AM,971107,9711078,10026,Take Away,2,3
23000019,01-01-25,12:30:24 AM,971107,9711073,10003,Dine In,4,4.5
23000019,01-01-25,12:30:00 AM,971107,9711073,10020,Dine In,3,4.5
23000019,01-01-25,12:30:00 AM,971107,9711073,10020,Dine In,1,4.5
23000020,01-01-25,12:30:24 AM,971107,9711076,10005,Dine In,2,5.5
23000021,01-01-25,12:36:00 AM,966104,9661045,10021,Dine In,3,4
23000026,01-01-25,12:42:48 AM,966105,9661052,10016,Dine In,1,4
23000027,01-01-25,12:43:12 AM,966105,9661054,10016,Dine In,1,4
23000032,01-01-25,12:47:12 AM,971106,9711069,10007,Dine In,2,4.5
23000034,01-01-25,12:49:36 AM,200101,2001017,10001,Take Away,1,4.5
23000036,01-01-25,12:51:12 AM,966104,9661044,10026,Take Away,2,3
23000038,01-01-25,12:56:24 AM,971107,9711072,10019,Dine In,4,4.5
23000038,01-01-25,12:56:24 AM,971107,9711072,10035,Dine In,1,6
23000039,01-01-25,12:56:48 AM,966105,9661051,10016,Dine In,4,4
23000039,01-01-25,12:56:48 AM,966105,9661051,10020,Dine In,1,4.5
23000040,01-01-25,12:57:36 AM,200101,2001018,10005,Take Away,1,5.5
23000040,01-01-25,12:57:36 AM,200101,2001018,10013,Take Away,1,3.5
23000041,01-01-25,12:58:00 AM,200103,2001039,10016,Take Away,3,4
23000042,01-01-25,1:05:12 AM,966105,2001013,10017,Dine In,1,3.5
23000042,01-01-25,1:05:12 AM,966105,2001013,10019,Dine In,1,4.5
23000046,01-01-25,1:10:48 AM,971106,9711064,10029,Take Away,3,4
23000046,01-01-25,1:10:48 AM,971106,9711064,10036,Take Away,1,6
23000047,01-01-25,1:12:00 AM,971107,9711074,10005,Dine In,4,5.5
23000047,01-01-25,1:12:00 AM,971107,9711074,10015,Dine In,2,4
23000048,01-01-25,1:14:00 AM,966105,9661052,10024,Dine In,2,4.5
23000049,01-01-25,1:14:24 AM,200101,2001013,10026,Dine In,2,3
23000050,01-01-25,1:16:00 AM,971107,9711074,10006,Dine In,3,5.5
23000050,01-01-25,1:16:24 AM,971107,9711074,10021,Dine In,2,4
23000051,01-01-25,1:16:24 AM,971106,9711068,10018,Take Away,2,4
23000051,01-01-25,1:16:00 AM,971106,9711068,10031,Take Away,3,4.5
23000052,01-01-25,1:17:36 AM,971107,9711074,10013,Take Away,2,3.5
23000053,01-01-25,1:18:24 AM,966105,9661054,10026,Dine In,4,3
23000055,01-01-25,1:22:00 AM,200103,2001034,10024,Take Away,4,4.5
23000058,01-01-25,1:27:36 AM,974109,9741093,10006,Dine In,4,5.5
23000058,01-01-25,1:27:36 AM,974109,9741093,10016,Dine In,4,4
23000058,01-01-25,1:27:12 AM,974109,9741093,10031,Dine In,4,4.5
23000059,01-01-25,1:27:12 AM,200101,2001018,10036,Take Away,4,6
23000061,01-01-25,1:28:00 AM,200101,2001015,10017,Take Away,1,3.5
23000062,01-01-25,1:29:36 AM,200101,2001015,10017,Dine In,3,3.5
23000065,01-01-25,1:31:12 AM,966105,9661052,10027,Dine In,3,3.5
23000066,01-01-25,1:34:48 AM,200101,2001015,10033,Dine In,3,4
23000067,01-01-25,1:35:36 AM,971107,9711074,10006,Dine In,1,5.5
23000069,01-01-25,1:38:24 AM,965108,9651088,10019,Dine In,3,4.5
23000072,01-01-25,1:40:48 AM,974109,9741093,10026,Dine In,3,3
